"Geographic Area","Births to 15-19 y/o mothers","15-19 y/o Female Population","Birth Rate Per 1000 Population"
"Connecticut",8177,618204,13.2
"Andover",1,610,1.6
"Ansonia",51,3255,15.7
"Ashford",7,700,10
"Avon",2,3035,0.7
"Barkhamsted",0,720,0
"Beacon Falls",8,935,8.6
"Berlin",14,2915,4.8
"Bethany",0,940,0
"Bethel",11,3115,3.5
"Bethlehem",2,725,2.8
"Bloomfield",39,2955,13.2
"Bolton",4,765,5.2
"Bozrah",3,425,7.1
"Branford",21,3675,5.7
"Bridgeport",876,27615,31.7
"Bridgewater",0,185,0
"Bristol",124,8340,14.9
"Brookfield",7,2895,2.4
"Brooklyn",17,1325,12.8
"Burlington",3,1485,2
"Canaan",0,145,0
"Canterbury",7,875,8
"Canton",2,1430,1.4
"Chaplin",2,325,6.2
"Cheshire",10,4305,2.3
"Chester",3,525,5.7
"Clinton",13,1905,6.8
"Colchester",9,2830,3.2
"Colebrook",2,215,9.3
"Columbia",3,1035,2.9
"Cornwall",0,210,0
"Coventry",12,1860,6.5
"Cromwell",7,1980,3.5
"Danbury",216,12760,16.9
"Darien",1,3775,0.3
"Deep River",5,595,8.4
"Derby",31,1830,16.9
"Durham",3,1365,2.2
"Eastford",2,230,8.7
"East Granby",4,690,5.8
"East Haddam",5,1395,3.6
"East Hampton",6,1965,3.1
"East Hartford",232,8145,28.5
"East Haven",54,4075,13.3
"East Lyme",9,2785,3.2
"Easton",0,1440,0
"East Windsor",19,1530,12.4
"Ellington",7,2300,3
"Enfield",68,6265,10.9
"Essex",3,750,4
"Fairfield",18,13420,1.3
"Farmington",11,3755,2.9
"Franklin",1,305,3.3
"Glastonbury",6,5565,1.1
"Goshen",1,410,2.4
"Granby",3,1890,1.6
"Greenwich",22,9340,2.4
"Griswold",30,2120,14.2
"Groton",104,5065,20.5
"Guilford",6,3420,1.8
"Haddam",4,1175,3.4
"Hamden",94,14795,6.4
"Hampton",0,255,0
"Hartford",1019,29175,34.9
"Hartland",1,325,3.1
"Harwinton",1,875,1.1
"Hebron",4,1605,2.5
"Kent",3,425,7.1
"Killingly",54,2650,20.4
"Killingworth",0,1055,0
"Lebanon",10,1225,8.2
"Ledyard",13,2480,5.2
"Lisbon",8,805,9.9
"Litchfield",5,1445,3.5
"Lyme",1,265,3.8
"Madison",3,3450,0.9
"Manchester",131,8155,16.1
"Mansfield",13,15560,0.8
"Marlborough",2,850,2.4
"Meriden",308,10025,30.7
"Middlebury",3,1185,2.5
"Middlefield",3,600,5
"Middletown",104,8375,12.4
"Milford",41,7040,5.8
"Monroe",5,3495,1.4
"Montville",34,2790,12.2
"Morris",2,380,5.3
"Naugatuck",66,5140,12.8
"New Britain",494,14660,33.7
"New Canaan",1,3885,0.3
"New Fairfield",2,2645,0.8
"New Hartford",5,1135,4.4
"New Haven",755,29235,25.8
"Newington",25,4085,6.1
"New London",133,7045,18.9
"New Milford",33,4460,7.4
"Newtown",19,4785,4
"Norfolk",1,235,4.3
"North Branford",5,2165,2.3
"North Canaan",5,470,10.6
"North Haven",16,3475,4.6
"North Stonington",4,655,6.1
"Norwalk",187,11090,16.9
"Norwich",199,6585,30.2
"Old Lyme",1,1230,0.8
"Old Saybrook",6,1445,4.2
"Orange",4,2210,1.8
"Oxford",8,1780,4.5
"Plainfield",43,2695,16
"Plainville",16,2635,6.1
"Plymouth",14,2040,6.9
"Pomfret",5,775,6.5
"Portland",10,1330,7.5
"Preston",4,780,5.1
"Prospect",5,1530,3.3
"Putnam",39,1385,28.2
"Redding",4,1440,2.8
"Ridgefield",4,4525,0.9
"Rocky Hill",10,2325,4.3
"Roxbury",1,300,3.3
"Salem",5,725,6.9
"Salisbury",2,460,4.3
"Scotland",3,225,13.3
"Seymour",16,2695,5.9
"Sharon",1,380,2.6
"Shelton",45,5585,8.1
"Sherman",1,630,1.6
"Simsbury",5,4330,1.2
"Somers",6,1535,3.9
"Southbury",4,2875,1.4
"Southington",25,6330,3.9
"South Windsor",21,4250,4.9
"Sprague",7,560,12.5
"Stafford",19,1785,10.6
"Stamford",240,15635,15.4
"Sterling",5,640,7.8
"Stonington",23,2395,9.6
"Stratford",115,8025,14.3
"Suffield",9,2485,3.6
"Thomaston",6,1320,4.5
"Thompson",13,1410,9.2
"Tolland",8,2275,3.5
"Torrington",100,4915,20.3
"Trumbull",14,5700,2.5
"Union",0,120,0
"Vernon",57,3995,14.3
"Voluntown",3,405,7.4
"Wallingford",32,6665,4.8
"Warren",0,190,0
"Washington",1,455,2.2
"Waterbury",710,20325,34.9
"Waterford",16,3115,5.1
"Watertown",19,3575,5.3
"Westbrook",6,930,6.5
"West Hartford",71,11175,6.4
"West Haven",164,11525,14.2
"Weston",2,2210,0.9
"Westport",4,4660,0.9
"Wethersfield",20,3560,5.6
"Willington",7,880,8
"Wilton",2,3210,0.6
"Winchester",21,1785,11.8
"Windham",135,7295,18.5
"Windsor",45,4585,9.8
"Windsor Locks",30,1935,15.5
"Wolcott",12,3065,3.9
"Woodbridge",2,1680,1.2
"Woodbury",3,1450,2.1
"Woodstock",5,1395,3.6
